Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2019/05/01 03:00:00 PM,2019/05/01,15:00,2019,Wednesday,2019/05/06 08:15:00 PM,80241271000,802412,196096505,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/08/10 09:00:00 AM,2018/08/10,09:00,2018,Friday,2018/08/11 10:30:00 AM,71128371000,711283,186202483,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/10/23 07:00:00 PM,2018/10/23,19:00,2018,Tuesday,2018/11/06 03:25:00 PM,73846971000,738469,186264546,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,,,,,,,,
2019/03/04 08:30:00 AM,2019/03/04,08:30,2019,Monday,2019/03/04 09:12:00 AM,77638671000,776386,196044297,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,,,,,,,,
2018/06/06 08:00:00 PM,2018/06/06,20:00,2018,Wednesday,2018/08/14 10:18:00 AM,70461171000,704611,186189728,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Mission,,,,,,,,,,,,,,
2020/02/26 12:00:00 PM,2020/02/26,12:00,2020,Wednesday,2020/02/26 04:45:00 PM,90728206374,907282,206043927,,II,Coplogic Initial,true,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,,,Park,,,,,,,,,,,,,,
2019/11/26 08:00:00 PM,2019/11/26,20:00,2019,Tuesday,2019/11/27 10:20:00 AM,88031671000,880316,196266344,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2020/03/11 05:33:00 PM,2020/03/11,17:33,2020,Wednesday,2020/03/11 05:33:00 PM,91193607041,911936,200181434,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2020/01/03 03:40:00 PM,2020/01/03,15:40,2020,Friday,2020/01/05 06:06:00 PM,88968271000,889682,206004349,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,,,,,,,,
2021/01/20 06:00:00 PM,2021/01/20,18:00,2021,Wednesday,2021/01/21 01:15:00 AM,99798304011,997983,210006082,210040182,IS,Initial Supplement,,04011,Assault,Aggravated Assault,"Assault, Aggravated, W/ Gun",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2021/09/27 09:00:00 PM,2021/09/27,21:00,2021,Monday,2021/09/30 10:57:00 AM,108982509164,1089825,219002362,,II,Initial,,09164,Fraud,Fraud,"Access Card Information, Theft of",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2022/09/13 07:24:00 PM,2022/09/13,19:24,2022,Tuesday,2022/09/13 07:24:00 PM,119312162071,1193121,220625666,222562743,II,Initial,,62071,Warrant,Other,Probation Search,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2021/10/27 01:00:00 PM,2021/10/27,13:00,2021,Wednesday,2021/11/03 11:52:00 AM,108797906244,1087979,216166854,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2020/08/25 01:28:00 PM,2020/08/25,13:28,2020,Tuesday,2020/08/25 01:29:00 PM,95592207041,955922,200490150,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
